id;name;state_id
1;supposing;1
2;yet fácil uber;2
3;bravely whereas nadar;3
4;under salário amidst;4
5;frenetically incidentally;5
6;till apagar criativo;6
7;suddenly helplessly;7
8;ano ah;8
9;estreito though;9
10;excluding yawningly;10
11;coçar;11
12;gah hence;12
13;tensely regarding;13
14;blissfully;14
15;equally whoever anormal;15
16;willfully beside;16
17;curtir ah;17
18;fooey whether;18
19;céu;19
20;lago;20
21;velho;21
22;bombeiro;22
23;which meanwhile if;23
24;aço dimly;24
25;unless till coolly;25
26;vaguely fooey deceivingly;26
27;phooey crepúsculo after;27
28;perfectly luz;28
29;disposto;29
30;about entristecer;30
