id;legal_name;trade_name;cnpj;state_registration;email;phone;active;deleted_at
1;monthly lento since;esculpir instead among;energéticoXXXX;yieldingly;"k@~]!Ri.1j7";(71) 5255-2583;true;2026-04-08T10:28:15
2;tirar;healthily tv;estojoXXXXXXXX;lest happily;"-TI:m@6.0Mo4";(02) 9403-6133;false;2026-04-08T19:03:35
3;indeed for científico;boleto gostar;mehXXXXXXXXXXX;terrestre offensively engraçad;"19_Y@K?C.f't\R";(21) 96526-6473;true;2026-04-08T16:57:20
4;drat innocently;escanear bolo;ferociously estran;vainly gee;"Y@.y6G_.83[d#";(87) 3741-8857;false;2026-04-08T01:52:12
5;fully angrily;fechado responder;scarily inside but;wherever off reclamar;"q9@t.i";(82) 1496-3051;false;2026-04-08T01:57:14
6;falso even;provided;given athwartX;brr alegre programar;"(:A@P'2.jZQ|A";(20) 0872-1754;true;2026-04-08T07:04:39
7;er brr;suco regarding relógio;buscarXXXXXXXX;urna;"6kt@owZ.T.2L)";(62) 73864-2911;false;2026-04-08T15:28:27
8;finally up between;salgado under;esticar brrXXX;versus doar indiferente;"e'5@W.16rwGU";+55 (18) 0779-2676;false;2026-04-09T00:10:37
9;dreamily;out;lamberXXXXXXXX;rebater link;"E'if@Sy!/.l";+55 (38) 0912-9467;false;2026-04-08T15:25:21
10;internar courageously chão;marcar;suco acrossXXX;so gah oddly;"Z-T1)!@eCp.dEA}$";(65) 75416-3433;false;2026-04-08T18:11:05
11;down apagar;língua;busilyXXXXXXXX;ugh familiar;"ubo#Hm@M^.Ffr,$";(92) 3979-8396;false;2026-04-08T14:28:00
12;fosco cruelly;manifestar;cheerfully rudely ;professor;"t@FE.o4p5b";(88) 3443-4065;true;2026-04-08T18:31:22
13;inasmuch;triste unha yahoo;tillXXXXXXXXXX;or;"67@Hpm}q.RL";+55 (37) 5748-4095;false;2026-04-08T12:16:00
14;respirar transformar;alegrar pish musical;anunciar provided ;chocolate vender per;"^P3_@BsO.YVJ";+55 (84) 6992-2743;true;2026-04-08T02:24:47
15;irmã hence;queimar papelão;before after yowza;since jaggedly beber;"j[@<7ax.o_;T";(12) 5657-4688;false;2026-04-08T10:25:32
16;brr finally;colorfully;magro pastXXXX;whoever;";6n8L?@}<N.<-pxI";(07) 33592-3147;false;2026-04-08T14:10:28
17;tapete yieldingly;towards;awXXXXXXXXXXXX;phooey duro;"?$@VsA.P";+55 (85) 7007-2000;false;2026-04-08T04:07:33
18;next;hmph lago alto;yuck offXXXXXX;wherever yesterday;"l@|u.k3";(43) 05067-7910;false;2026-04-08T11:34:32
19;data cidade;imposto;pedraXXXXXXXXX;per midst relaxado;"C$WA0@[F.0k,c+H";+55 (11) 0371-6519;true;2026-04-08T05:13:46
20;lazily;alegrar till oval;noisily naturally ;than;"5J3@|:^i6.)g";(92) 78882-7696;false;2026-04-08T10:22:16
21;yet;amongst artístico eleição;an like lestXX;continually validar;"xR@&~t4.:oH3z4";(34) 0835-4180;true;2026-04-08T08:58:58
22;belo frio provided;hence memorizar unabashedly;copo tropeçar dent;visível largo pish;"1r.jTI@Zhm._";+55 (43) 2524-4069;true;2026-04-08T05:33:43
23;not amidst;montanha;simples débito les;including woefully;"3Z@vp..3";+55 (15) 0910-2007;false;2026-04-08T23:06:25
24;likewise yippee geez;than;warmly policial;jogar cimento courageously;"O{Y}@KrN.&pl";+55 (63) 1220-3981;false;2026-04-08T04:24:22
25;oval nadar daily;alumínio almost nor;cantor arroz segur;healthily;"M@<D.hPA";+55 (70) 1977-6236;true;2026-04-08T10:37:52
26;victoriously aço monitorar;burro criar contar;or abnormally frig;barring nor energético;"H77g)>@G>`h.Ww*\i)";(69) 1102-2720;true;2026-04-08T11:42:42
27;melhorar honesto;feliz;otimistaXXXXXX;off;"]o@u:._nl$Eq";(25) 3594-8307;true;2026-04-08T16:25:03
28;terrestre introvertido finally;tomorrow;near innocently go;confirmar duh vaguely;"'@*-%^%.f";(94) 30541-0111;false;2026-04-08T12:31:09
29;certainly livre;now apagar highly;alegre irmãXXX;levantar;"$4@byb2)w.l";(06) 41199-0990;false;2026-04-08T03:47:25
30;chutar whoa;silently ouch;gentilXXXXXXXX;travesseiro sussurrar ack;"K0/XM@aMV&.5Vj#Uz";+55 (31) 3590-5569;true;2026-04-08T12:26:52
