id;name;iso_code
1;famously geez meh;cor
2;though inconsciente;car
3;awkwardly absent likewise;now
4;if extrovertido;eas
5;gah circa categorizar;obe
6;porta;um 
7;ouch whenever;lon
8;less hungrily pizza;pes
9;save;car
10;cobra restfully ha;cou
11;brr;mul
12;unethically;com
13;frear;mea
14;deceivingly;cur
15;zowie;unl
16;indiferente;whe
17;beneath slowly across;sen
18;save coçar worriedly;opp
19;memorizar escutar knowledgeably;oh 
20;olho derrubar;pla
21;without estrela;man
22;areia deliberately inasmuch;fin
23;since;sum
24;cair yuck;doc
25;um since;wor
26;or;nee
27;frango adventurously osso;whe
28;molhado eek;reg
29;lixeira abaft esconder;thr
30;brilhar biblioteca canoa;yum
