id;name;sku;unit_of_measure;unit_decimal_places;sale_price;cost_price;min_stock;active;deleted_at
1;subir;alongside via incidentally;LITER;2;13248.9;8239.17;31573.77;false;2026-04-08T15:51:24
2;pish teatro psst;disposto who aha;UNIT;4;23070.99;5322.98;15195.7;false;2026-04-08T02:21:52
3;ouch;shyly;METER;0;24098.13;4528.09;25435.14;true;2026-04-08T07:43:32
4;yet;until;BOX;5;17726.7;2250.99;711.38;true;2026-04-08T16:31:51
5;transparente instead;voar ew;LITER;6;19936.55;28623.37;3377.88;false;2026-04-08T05:59:10
6;including;congelar feio ouvido;LITER;1;13485.02;28737.54;27344.76;true;2026-04-08T08:49:44
7;lest rir;terra fairly ack;BOX;2;1147.49;2725.62;29979.13;false;2026-04-08T20:49:10
8;gadzooks athwart leite;abrir lest;KG;1;27866.44;7121.51;14410.6;true;2026-04-08T12:07:54
9;avião;sofá;UNIT;5;26984.44;13309.33;21419.65;false;2026-04-08T15:10:20
10;wholly;ensinar cleverly;KG;4;11419.45;22887.84;28530.04;false;2026-04-08T03:40:46
11;biblioteca soon worth;medroso;LITER;2;17910.34;14106.38;20210.26;false;2026-04-08T01:21:54
12;yowza now;jovially hourly;KG;4;24876.2;1094.11;5178.65;false;2026-04-08T10:58:27
13;eek cidade righteously;cachoeira loosely;METER;3;1832.33;19185.66;21298.06;false;2026-04-08T19:36:08
14;yieldingly likewise worth;pace;LITER;0;12045.9;8904.99;5103.2;false;2026-04-08T07:17:27
15;whose;meme;LITER;0;29790.39;6531.26;18371.8;true;2026-04-08T18:24:27
16;regularly logar;save tensely;KG;5;20422.23;4138.69;3454.09;true;2026-04-08T22:35:32
17;worriedly tensely;mockingly fritar;LITER;5;19532.29;21162.24;29686.5;false;2026-04-08T22:16:36
18;prefeito pessimista;alongside who;UNIT;1;25991.64;24671.25;13939.92;true;2026-04-08T17:30:51
19;aw;forenenst soltar;UNIT;5;23333.54;29558.93;9528.78;true;2026-04-08T19:26:28
20;amid gadzooks;among save;LITER;3;32468.88;28164.12;27404.78;true;2026-04-08T01:19:53
21;verdadeiro vazio;beliscar however;KG;1;23437.67;29321.83;11014.4;false;2026-04-08T05:56:49
22;sangrar hastily;trocar than incidentally;LITER;4;2651.78;14173.57;4246.7;true;2026-04-08T12:05:42
23;estômago for;plástico nor;UNIT;5;25846.91;886.53;8115.21;true;2026-04-08T04:25:28
24;gato familiar criança;ouch furioso;METER;5;12386.11;30885.03;24358.3;false;2026-04-08T18:20:13
25;likewise esquecer pesado;woot sometimes;BOX;4;23240.61;12429.33;10967.38;false;2026-04-08T14:10:31
26;germinar meditar olhar;verdadeiro;LITER;5;10724.36;18974.36;29268.53;true;2026-04-08T21:29:47
27;um before;like;UNIT;0;9278.18;2010;8367.11;true;2026-04-08T14:44:46
28;biblioteca;sopa oceano;KG;1;26838.45;25319.48;5293.53;false;2026-04-08T02:56:56
29;so for;ack;KG;3;5954.41;30455.41;27915.53;false;2026-04-08T22:54:57
30;brr hm;by repeatedly;LITER;6;8650.37;19208.79;501.68;false;2026-04-08T07:09:53
