id;name;sku;unit_of_measure;unit_decimal_places;unit_cost;min_stock;active;deleted_at
1;as ew inasmuch;along;KG;5;30637.91;23069.98;true;2026-04-08T22:26:57
2;surpreender;vizinho;LITER;3;4390.56;13598.07;true;2026-04-08T14:16:20
3;marcar forenenst;ha;UNIT;4;16147.74;24950.35;false;2026-04-08T10:06:11
4;to anti;carefully by;LITER;6;15004.58;7275.9;true;2026-04-08T08:13:04
5;closely gah;meanwhile;METER;4;2680.49;32536.45;true;2026-04-08T10:45:46
6;bom;healthily if luz;METER;1;27480.21;22549.67;false;2026-04-08T04:48:58
7;vainly down;teatro cobertor oh;BOX;1;23188.98;4098.39;true;2026-04-08T19:57:07
8;blog;ew nivelar the;LITER;5;5874.3;31521.3;false;2026-04-09T00:07:42
9;between;resolver since;UNIT;0;23737.06;18786.65;false;2026-04-08T02:16:20
10;whenever;monocromático blah;UNIT;3;28799.12;19074.52;true;2026-04-08T19:03:38
11;salvar tossir when;céu amargo;BOX;1;1057.91;4564.6;false;2026-04-08T00:46:53
12;after ha;ocupado;LITER;3;26804.97;1265.83;false;2026-04-08T14:07:28
13;cavalo;criativo behind papel;METER;2;11562.76;5155.65;true;2026-04-08T19:22:18
14;since pele extrovertido;mal-educado;LITER;6;17824.87;27398.42;true;2026-04-08T05:23:02
15;alto;likewise;METER;3;31513.15;10592.73;true;2026-04-08T20:21:54
16;furiously;whereas beside on;UNIT;1;29707.35;23151.55;false;2026-04-08T00:30:20
17;quadrado;triumphantly;BOX;1;19592.85;31069.04;false;2026-04-08T13:51:38
18;blah qua including;oof skate lest;METER;0;12976.69;19127;false;2026-04-08T15:23:39
19;falso and meh;phooey unto feijão;METER;5;11474.58;9986.31;false;2026-04-08T23:13:55
20;yet;for;LITER;1;11653.13;27524.48;false;2026-04-08T14:43:45
21;yum finally;conversar saudável;UNIT;4;13077.44;1511.53;true;2026-04-08T16:25:51
22;estranho perguntar before;ficar between commonly;BOX;6;7067.34;17944.94;true;2026-04-08T01:43:39
23;that;so ouvido;UNIT;1;14032.74;24547.42;false;2026-04-08T17:15:55
24;nearly calmo;oof over;UNIT;4;19633.86;23005.51;true;2026-04-08T18:40:34
25;unfortunately softly década;likewise garçom mmm;BOX;0;30254.09;4048.52;true;2026-04-08T01:51:48
26;digitalizar blah;than;BOX;5;21856.54;10744.85;false;2026-04-08T12:38:11
27;irresponsável;from céu ugh;KG;2;1832.41;3829.53;true;2026-04-08T18:00:16
28;mar inasmuch before;escritório interruptor;METER;3;16890.89;24521.04;false;2026-04-08T12:01:43
29;midst;fooey;LITER;0;19612.94;11880.91;true;2026-04-08T20:30:46
30;why yet ah;fosco céu without;METER;4;29086.81;21977.74;false;2026-04-08T22:19:53
