id;sale_date;sale_number;status;gross_amount;discount_amount;net_amount;notes;deleted_at
1;2026-04-08T07:49:18;fechado wisely semana;OPEN;6175.76;8273.3;1931.82;feio;2026-04-08T15:45:20
2;2026-04-08T22:19:37;triangular;INVOICED;15240.89;2520.93;6741.53;uselessly;2026-04-08T04:08:48
3;2026-04-08T13:44:58;política;INVOICED;31338.95;17760.93;10424.7;copo;2026-04-09T00:18:06
4;2026-04-08T17:52:12;contente;INVOICED;1972.01;9844.02;1153.98;longingly generoso;2026-04-08T05:14:51
5;2026-04-08T21:26:07;nor;CONFIRMED;20410.53;22011.2;15677.64;pular lest lest;2026-04-08T22:38:28
6;2026-04-08T10:26:39;duh grande;CONFIRMED;24764.07;29132.96;20006;ew trabalhar;2026-04-08T16:47:14
7;2026-04-08T14:45:02;so calmly;CONFIRMED;12947.63;30769.99;6458.53;vibrar painfully;2026-04-08T15:33:49
8;2026-04-08T22:08:37;gentil;INVOICED;17412.55;31023.17;14540.88;immediately;2026-04-08T21:28:20
9;2026-04-08T08:04:56;yuck;CONFIRMED;321.48;30554.84;27884.83;quieto biblioteca;2026-04-08T11:49:17
10;2026-04-08T02:47:02;aX;CANCELED;14626.62;18865.7;15573.5;braço leve;2026-04-08T11:52:08
11;2026-04-08T04:00:18;not nervoso yowza;OPEN;32286.67;30981.63;26541.57;majestically;2026-04-08T21:53:57
12;2026-04-08T20:57:53;or deliberately;CONFIRMED;7300.11;28395.17;30044.47;carro;2026-04-08T16:50:11
13;2026-04-08T23:33:57;arroz however whereas;CANCELED;17651.8;26569.63;23001.6;mentiroso;2026-04-08T23:43:50
14;2026-04-08T18:57:52;encaminhar afore;OPEN;9064.13;32715.06;17634.33;hence ano;2026-04-08T14:17:37
15;2026-04-08T14:09:31;nomear;INVOICED;13808.42;27207.77;29829.24;gritar azedo;2026-04-08T05:48:58
16;2026-04-08T03:10:28;selecionar;INVOICED;15900.89;14621.94;14548.51;ick into finally;2026-04-08T12:15:00
17;2026-04-08T20:17:38;copo;OPEN;7488.09;8713.28;10375.2;tensely postar;2026-04-08T23:24:06
18;2026-04-08T17:49:45;or considering like;CONFIRMED;3206.88;21244.52;14343.53;ligar hmph provided;2026-04-08T09:06:47
19;2026-04-08T16:20:13;loftily;CANCELED;13478.61;6485.95;8969.74;conversar;2026-04-08T10:54:39
20;2026-04-08T16:26:45;heavily however;CONFIRMED;22786.66;22738.79;32487.73;while woot;2026-04-08T14:39:09
21;2026-04-08T06:26:10;why constituição prometer;CONFIRMED;21091.39;15770.46;26025.54;whose;2026-04-08T23:16:25
22;2026-04-08T13:04:23;at;CANCELED;20345.99;2973.4;1436.82;smoothly colorido streaming;2026-04-08T23:28:24
23;2026-04-08T16:13:02;fooey redondo mau;CANCELED;140.33;27720.84;3091.41;worth vaguely;2026-04-08T17:56:09
24;2026-04-08T04:13:33;ativo flexível;CANCELED;28933.55;32248.91;14426.98;what;2026-04-08T09:07:52
25;2026-04-08T03:11:10;aside for cobra;CONFIRMED;7110.17;13241.69;1128.41;because;2026-04-08T23:35:46
26;2026-04-08T13:41:19;desaparecer lest;CANCELED;7443.7;14287;28575.43;why finally anormal;2026-04-08T09:33:31
27;2026-04-08T22:06:35;guardar hence;INVOICED;15656.39;21340.96;4331.99;anti pesquisar unless;2026-04-08T05:11:39
28;2026-04-08T07:34:50;ugh gah gostar;CANCELED;4990.01;6197.35;21362.65;preocupado;2026-04-08T12:05:09
29;2026-04-08T10:15:48;sweetly owlishly vaguely;INVOICED;28723.85;20444.25;13931.56;until for;2026-04-08T08:37:17
30;2026-04-08T08:02:41;now;CONFIRMED;9161.23;753.43;15159.97;over;2026-04-08T15:03:41
