id;quantity;unit_price;discount_amount;line_total;deleted_at
1;19767.81;23482.39;29413.61;10813.75;2026-04-08T11:51:08
2;1263.12;24133.38;4839.19;18958.76;2026-04-08T10:50:29
3;15006.4;16242.31;460.6;30161.57;2026-04-08T04:13:11
4;28107.75;7618.84;21597.45;128.65;2026-04-08T10:11:16
5;21935.61;1329.3;31573.67;11311.88;2026-04-08T12:07:48
6;25289.24;5517.49;32335.73;21212.84;2026-04-08T06:55:20
7;30587.92;27284.1;29905.7;14594.71;2026-04-08T13:22:54
8;24517.25;23986.93;28544.66;19887.7;2026-04-08T12:32:15
9;24639.28;1621.81;25971.42;26762.9;2026-04-08T16:59:33
10;21534.96;2663.69;3350.25;7245.46;2026-04-08T10:46:23
11;6386.57;2421.27;160.67;12740.62;2026-04-08T10:01:55
12;21325.43;5645.21;13401.7;123.06;2026-04-08T03:30:49
13;6713.28;32016.9;5932.6;2800.14;2026-04-09T00:07:22
14;25069.53;24259.21;2788.73;14872.79;2026-04-08T08:58:59
15;27993.66;384.52;21051.2;18926.2;2026-04-08T05:59:47
16;27143.34;20671.9;32218.53;30973.43;2026-04-08T17:22:11
17;23056.15;23998.6;7479.31;20926.61;2026-04-08T13:00:57
18;12434.69;1216.82;6763;21213.2;2026-04-08T01:47:18
19;29813.65;23914.46;5011.87;18063.86;2026-04-08T07:15:45
20;19106.69;1754.57;26050.21;26144.78;2026-04-08T07:20:04
21;24428.61;8534.89;6302.07;31561.64;2026-04-08T16:18:13
22;1144.33;18780.8;10732.35;6452.6;2026-04-08T17:52:21
23;9930.01;22283.38;32273.04;6525.05;2026-04-08T21:22:15
24;28214.25;16527.79;22536.89;581.05;2026-04-08T02:17:27
25;21453.97;25034.03;20540.96;28874.42;2026-04-08T17:37:28
26;32700.24;3703.16;8095.11;25574.82;2026-04-08T21:17:47
27;20943.12;22274.9;31983.64;8887.17;2026-04-08T01:34:21
28;5692.86;11805.55;28291.28;21673.66;2026-04-08T18:35:42
29;32159.95;11056.03;4544.5;4960.57;2026-04-08T20:57:43
30;11591.32;25128.47;29641.79;13394.3;2026-04-08T22:17:25
