id;name;code;country_id
1;why lest;promptly e;1
2;meh regar;lento;2
3;vice;navio;3
4;deslizar;doar becau;4
5;past;gosh estre;5
6;pesado;supposing;6
7;pensar;during;7
8;cautiously;how;8
9;oof criar cleverly;how indeed;9
10;oof;sólido;10
11;borracha woot;esculpir;11
12;crédito properly;hm rocha c;12
13;derrubar oof boohoo;soon estra;13
14;kindheartedly obediently;forenenst ;14
15;before ônibus;pish lembr;15
16;or ferociously mar;estômago;16
17;sincero quente juros;or;17
18;ônibus;lago;18
19;musculoso aeroporto;dearly def;19
20;usefully;científico;20
21;yowza tempestade instalar;slowly abs;21
22;presidir diligently;boohoo;22
23;which;pequeno th;23
24;separately kindly;provided p;24
25;shakily until;barco reas;25
26;deslizar lest for;er unlike ;26
27;soon;past resta;27
28;kissingly;reluctantl;28
29;since down;anti;29
30;vice;terrestre ;30
