id;movement_date;movement_type;quantity;unit_cost;reference_number;notes;deleted_at
1;2026-04-08T13:07:10;INBOUND;26227.44;20966.45;supposing redondo cego;rigidly considering lento;2026-04-08T14:07:07
2;2026-04-08T04:59:09;ADJUSTMENT;4198.4;9746.62;underneath anenst;introvertido estômago;2026-04-08T05:18:48
3;2026-04-08T02:06:33;OUTBOUND;4887.37;28476.79;towards;administrar programar;2026-04-08T13:07:06
4;2026-04-08T09:52:22;INBOUND;32002.94;15176.25;so;desconto how duh;2026-04-08T02:05:07
5;2026-04-08T14:20:53;ADJUSTMENT;19268.67;25428.15;rodoviária;pé;2026-04-08T00:48:47
6;2026-04-08T08:40:00;OUTBOUND;4139.44;16761.54;brightly livraria meanwhile;absentmindedly;2026-04-08T04:09:13
7;2026-04-08T07:56:17;INBOUND;27515.64;4281.1;óculos astride;fruta;2026-04-08T06:59:23
8;2026-04-08T13:38:00;OUTBOUND;16318.26;11217.93;arrumar;finally comparar;2026-04-08T02:28:32
9;2026-04-08T18:18:17;OUTBOUND;3445.48;3234.57;so;past podcast;2026-04-08T07:04:42
10;2026-04-08T19:34:40;INBOUND;22036.9;23924.83;huzzah;esperar;2026-04-08T19:20:07
11;2026-04-08T16:53:13;ADJUSTMENT;32644.03;16171.56;organizar phew ah;off geez;2026-04-08T03:09:38
12;2026-04-08T01:06:19;ADJUSTMENT;19963.21;6568.79;youthfully;before;2026-04-08T06:17:52
13;2026-04-08T08:29:05;TRANSFER;30151.2;2833.15;now;dizer from;2026-04-08T14:38:08
14;2026-04-08T05:34:44;ADJUSTMENT;19221.89;8544.28;fooey;encontro;2026-04-08T04:38:39
15;2026-04-08T14:16:30;TRANSFER;11433.39;14668.49;phew meanwhile indeciso;macaco separately cobertor;2026-04-08T04:51:23
16;2026-04-08T16:14:15;TRANSFER;15618.16;6137.62;which desligar;aw yippee;2026-04-08T22:32:04
17;2026-04-08T19:30:41;TRANSFER;27820.16;30751.63;caneta bah;yippee;2026-04-08T06:34:42
18;2026-04-08T23:21:58;OUTBOUND;15992.42;4250.72;sol amar;uh-huh lest;2026-04-08T08:20:25
19;2026-04-09T00:19:50;ADJUSTMENT;4040.94;1093.3;aparecer minus blah;zowie against;2026-04-08T10:46:34
20;2026-04-08T18:52:15;ADJUSTMENT;18630.74;12642.61;because rapidly supposing;inspirar inteligente questionably;2026-04-08T20:56:57
21;2026-04-08T16:23:08;ADJUSTMENT;25791.52;21959.34;furthermore parque;yet modulo;2026-04-08T07:14:01
22;2026-04-08T00:26:02;OUTBOUND;11777.15;16497.12;consequently;whose;2026-04-08T09:33:19
23;2026-04-08T10:07:48;ADJUSTMENT;9286.14;11069.27;pish urso;queijo ew hmph;2026-04-08T07:16:15
24;2026-04-08T18:52:31;OUTBOUND;3075.97;7856.06;until modulo energetically;wherever estádio;2026-04-08T06:36:41
25;2026-04-08T09:45:31;TRANSFER;11174.15;30884.84;quietly;estranho conversar furthermore;2026-04-08T04:16:59
26;2026-04-08T21:02:44;OUTBOUND;15429.26;24649.3;but andar;generously andar;2026-04-08T13:27:44
27;2026-04-08T15:27:53;INBOUND;19891;26551.94;than;verdadeiro boohoo tartaruga;2026-04-08T16:03:27
28;2026-04-08T22:14:56;TRANSFER;27874.51;6508.92;vizinho knowingly annually;from outside quietly;2026-04-09T00:00:09
29;2026-04-08T16:07:54;OUTBOUND;2847.88;1582.41;round introvertido;absentmindedly;2026-04-08T07:30:07
30;2026-04-08T00:59:32;ADJUSTMENT;7805.49;13703.69;over;emprestar quadrado;2026-04-08T21:16:12
