id;name;code;active;deleted_at
1;zowie athwart;truthfully;false;2026-04-08T14:03:29
2;stealthily duh cozinheiro;alto calmo dinheiro;true;2026-04-08T13:13:54
3;till;greatly relembrar;false;2026-04-08T17:59:35
4;sonhar vaca gosh;juros;false;2026-04-08T07:54:22
5;meh;blah provided wildly;true;2026-04-08T01:03:54
6;inasmuch forenenst;decidido perna;true;2026-04-08T20:14:29
7;yippee;ew alongside;false;2026-04-08T06:30:20
8;whoa meme;given;false;2026-04-08T02:57:32
9;aboard líquido;lively yuck terrestre;false;2026-04-08T02:08:11
10;curioso noisily;before copo bairro;true;2026-04-08T16:12:11
11;cotar medir how;atop;true;2026-04-08T23:56:31
12;the;psst which;false;2026-04-08T17:43:21
13;whoever;furioso caminhão yawningly;true;2026-04-08T08:30:26
14;sleepily;blah overconfidently hora;true;2026-04-08T15:13:27
15;ha duh throughout;chegar joyously;false;2026-04-08T10:10:57
16;gee;across votar inside;false;2026-04-08T06:30:49
17;save nervously;afiado busily;false;2026-04-08T09:02:14
18;while advogado;céu;true;2026-04-08T05:34:38
19;failing when;ick how for;false;2026-04-08T23:52:01
20;whenever;woot brilhar brilhar;false;2026-04-08T22:19:44
21;famously avião;greedily streaming;true;2026-04-08T06:10:15
22;yearningly bicho owlishly;pish duh ha;true;2026-04-08T00:46:34
23;apropos;seguro dimly;false;2026-04-08T14:20:19
24;finally;after;true;2026-04-08T21:53:50
25;consequently;navegar;true;2026-04-08T13:46:49
26;praça;oh ack barato;true;2026-04-08T12:13:35
27;about supposing;gasoso;false;2026-04-08T21:44:05
28;gasoso although;pobre secar;true;2026-04-08T19:28:15
29;investigar;or;true;2026-04-08T07:02:59
30;to aluno;phew descrever;false;2026-04-08T13:38:06
