id;name;code;active;deleted_at
1;upside-down grande;drat;true;2026-04-08T19:24:20
2;ônibus;crossly decidido;true;2026-04-08T20:12:37
3;confiante surprisingly;vigiar painfully;true;2026-04-08T23:05:30
4;guardar beautifully;but abnormally;true;2026-04-08T11:32:01
5;amargo times as;yowza;false;2026-04-08T19:06:50
6;how meanwhile partido;violently nariz eleição;false;2026-04-08T01:02:07
7;duro before;preocupado yet powerfully;true;2026-04-08T20:23:52
8;that;unbearably ver;false;2026-04-08T14:56:21
9;resumir elegantly vastly;brr;false;2026-04-08T06:40:50
10;ha hence celestial;although tratar;false;2026-04-08T07:29:17
11;likewise;including;false;2026-04-08T21:07:58
12;once;besides following boca;false;2026-04-08T13:06:12
13;midst apropos;irmã given ew;false;2026-04-08T14:36:20
14;barato rato;dimly mmm huzzah;false;2026-04-08T04:01:55
15;lucro;hmph resolver;true;2026-04-08T20:07:11
16;pensar optimistically;jaggedly than economia;true;2026-04-08T07:41:31
17;gadzooks ouch;olho as;true;2026-04-08T17:50:20
18;segundo;than times without;false;2026-04-08T08:50:06
19;where jubilantly;barulhento fairly;false;2026-04-08T22:07:26
20;onto brilhante construir;ugh lest armário;false;2026-04-08T10:54:02
21;by cheio;fruta medir massa;true;2026-04-08T04:32:26
22;kindheartedly lest of;abrir notwithstanding mmm;false;2026-04-08T13:10:55
23;smoothly rude er;alegrar ack;false;2026-04-08T18:48:05
24;devolver;positively;true;2026-04-08T23:41:21
25;responsável;ha plus ew;true;2026-04-08T05:49:18
26;indiferente psst;if till against;false;2026-04-08T08:19:09
27;manifestar unlike criar;sapato táxi escuro;false;2026-04-08T23:08:15
28;swiftly instead;truthfully;true;2026-04-08T23:44:04
29;anotar;gadzooks;true;2026-04-08T04:45:08
30;perigoso brr;except pesquisar;false;2026-04-08T19:04:09
